    Problem           Branch              Search           Time      Size   
    10-5-0        Most_Fraction         Depth_First      2.791e-01    13   
    10-5-0        Most_Fraction         Best_First       2.411e-01    13   
    10-5-0        Most_Fraction         Best_Estimate    2.654e-01    13   
    10-5-0        Fixed_Branching       Depth_First      2.339e-01    13   
    10-5-0        Fixed_Branching       Best_First       2.254e-01    13   
    10-5-0        Fixed_Branching       Best_Estimate    2.517e-01    13   
    10-5-0        Pseudocost_Branching  Depth_First      2.460e-01    13   
    10-5-0        Pseudocost_Branching  Best_First       2.426e-01    13   
    10-5-0        Pseudocost_Branching  Best_Estimate    2.290e-01    13   
    10-10-1       Most_Fraction         Depth_First      2.485e-01    13   
    10-10-1       Most_Fraction         Best_First       2.782e-01    13   
    10-10-1       Most_Fraction         Best_Estimate    2.489e-01    13   
    10-10-1       Fixed_Branching       Depth_First      3.714e-01    19   
    10-10-1       Fixed_Branching       Best_First       4.528e-01    19   
    10-10-1       Fixed_Branching       Best_Estimate    4.505e-01    19   
    10-10-1       Pseudocost_Branching  Depth_First      2.469e-01    13   
    10-10-1       Pseudocost_Branching  Best_First       2.771e-01    13   
    10-10-1       Pseudocost_Branching  Best_Estimate    2.600e-01    13   
    10-15-2       Most_Fraction         Depth_First      1.408e-01    7    
    10-15-2       Most_Fraction         Best_First       1.428e-01    7    
    10-15-2       Most_Fraction         Best_Estimate    1.365e-01    7    
    10-15-2       Fixed_Branching       Depth_First      4.264e-01    19   
    10-15-2       Fixed_Branching       Best_First       1.053e-01    5    
    10-15-2       Fixed_Branching       Best_Estimate    8.864e-02    5    
    10-15-2       Pseudocost_Branching  Depth_First      1.342e-01    7    
    10-15-2       Pseudocost_Branching  Best_First       1.584e-01    7    
    10-15-2       Pseudocost_Branching  Best_Estimate    1.733e-01    7    
    20-15-3       Most_Fraction         Depth_First      3.967e-01    15   
    20-15-3       Most_Fraction         Best_First       3.011e-01    13   
    20-15-3       Most_Fraction         Best_Estimate    3.326e-01    13   
    20-15-3       Fixed_Branching       Depth_First      9.142e-01    37   
    20-15-3       Fixed_Branching       Best_First       7.754e-01    27   
    20-15-3       Fixed_Branching       Best_Estimate    6.891e-01    27   
    20-15-3       Pseudocost_Branching  Depth_First      5.302e-01    21   
    20-15-3       Pseudocost_Branching  Best_First       4.722e-01    17   
    20-15-3       Pseudocost_Branching  Best_Estimate    4.179e-01    17   
    20-20-4       Most_Fraction         Depth_First      2.734e+00   101   
    20-20-4       Most_Fraction         Best_First       1.996e+00    69   
    20-20-4       Most_Fraction         Best_Estimate    2.127e+00    69   
    20-20-4       Fixed_Branching       Depth_First      3.963e+00   135   
    20-20-4       Fixed_Branching       Best_First       3.439e+00   125   
    20-20-4       Fixed_Branching       Best_Estimate    3.436e+00   125   
    20-20-4       Pseudocost_Branching  Depth_First      1.726e+00    61   
    20-20-4       Pseudocost_Branching  Best_First       1.629e+00    61   
    20-20-4       Pseudocost_Branching  Best_Estimate    1.607e+00    61   
    20-25-5       Most_Fraction         Depth_First      8.037e+00   273   
    20-25-5       Most_Fraction         Best_First       8.504e+00   273   
    20-25-5       Most_Fraction         Best_Estimate    7.450e+00   273   
    20-25-5       Fixed_Branching       Depth_First      1.034e+01   365   
    20-25-5       Fixed_Branching       Best_First       9.518e+00   327   
    20-25-5       Fixed_Branching       Best_Estimate    9.250e+00   327   
    20-25-5       Pseudocost_Branching  Depth_First      4.882e+00   175   
    20-25-5       Pseudocost_Branching  Best_First       5.860e+00   185   
    20-25-5       Pseudocost_Branching  Best_Estimate    6.534e+00   213   
    30-25-6       Most_Fraction         Depth_First      7.872e+00   229   
    30-25-6       Most_Fraction         Best_First       6.998e+00   219   
    30-25-6       Most_Fraction         Best_Estimate    8.269e+00   219   
    30-25-6       Fixed_Branching       Depth_First      9.108e+00   267   
    30-25-6       Fixed_Branching       Best_First       1.514e+01   251   
    30-25-6       Fixed_Branching       Best_Estimate    8.743e+00   251   
